stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
46,0.5,1.0,53.43468170799315,,53.42806804203428,53.43468170799315,53.92669408302754,53.92669408302754,53.93073537503369,54.214312083029654,54.22798129200237,right,1.0,0,0,0.29432420805096626,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
47,0.5,1.5,54.23551312502241,,54.22823187499307,54.23551312502241,54.7267586250091,54.7267586250091,54.73110799997812,55.014079292013776,55.228210250032134,right,1.5,1,1,0.4969686249969527,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
48,0.5,1.5,55.235256333020516,,55.228462083032355,55.235256333020516,55.726781375007704,55.726781375007704,55.730804249993525,56.01419066701783,56.461429374990985,left,-1.5,0,0,0.7217494169599377,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
49,0.5,2.0,56.46821324998746,,56.461748000001535,56.46821324998746,56.960184333031066,56.960184333031066,56.96464304201072,57.246770291996654,57.32833291700808,right,2.0,1,1,0.3573008750099689,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
50,0.5,2.0,57.335984542034566,,57.32861487503396,57.335984542034566,57.82682258298155,57.82682258298155,57.83130366698606,58.11415529198712,58.19490833301097,right,2.0,1,1,0.3556929999613203,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
51,0.5,2.0,58.20247120800195,,58.195224083028734,58.20247120800195,58.69351891701808,58.69351891701808,58.69722754199756,58.98520366701996,58.978326499986,left,-2.0,0,0,0.2751431250362657,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
52,0.5,2.5,58.98520366701996,,58.97865762503352,58.98520366701996,59.47701033297926,59.47701033297926,59.48139675002312,59.76437604200328,59.84457591699902,right,2.5,1,1,0.36191045900341123,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
53,0.5,2.5,59.85121462499956,,59.84485733299516,59.85121462499956,60.33245404198533,60.33245404198533,60.347400333033875,60.63087362499209,60.69491466699401,left,-2.5,1,1,0.35346958303125575,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
54,0.5,2.5,60.70220416702796,,60.69519145798404,60.70220416702796,61.19361995800864,61.19361995800864,61.197447833023034,61.481270125019364,61.744786916999146,left,-2.5,0,0,0.5474443340208381,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
55,0.5,3.0,61.7514936249936,,61.74515433300985,61.7514936249936,62.243688874994405,62.243688874994405,62.24772770801792,62.53200554201612,62.77834737498779,left,-3.0,1,1,0.5304233329952694,538749,001,2025-09-02_09h26.02.815,adaptive staircase experiment ,,2025.1.1,None,2025-09-02 09h26.06.444635 +0530,
