pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trial_2.started,fixation_2.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation_2.stopped,probe_2.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,25,25,6,,,,,x,1,0.6330991659779102,None,,,,,6,25,25,0,375.4554493750911,,,,,,,,,,,,,,,,375.44651641719975,375.4554493750911,376.444159375038,376.444159375038,376.444159375038,376.444159375038,376.4507899170276,377.4443133340683,377.4443133340683,378.07935900008306,x,1,0.6330991659779102,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
-150,z,26,26,6,,,,,z,1,0.9668208751827478,None,,,,,6,26,26,3,378.0889285001904,,,,,,,,,,,,,,,,378.07995995902456,378.0889285001904,379.0776433341671,379.0776433341671,379.0776433341671,379.0776433341671,379.08419125014916,380.07766562514007,380.07766562514007,381.0516743340995,z,1,0.9668208751827478,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
-150,z,27,27,7,,,,,z,1,4.847653792006895,None,,,,,7,27,27,3,381.06026708404534,,,,,,,,,,,,,,,,381.052155375015,381.06026708404534,382.0516397920437,382.0516397920437,382.0516397920437,382.0516397920437,382.0516397920437,383.04423120920546,383.04423120920546,387.8964139171876,z,1,4.847653792006895,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
-150,z,28,28,8,,,,,z,1,0.5163833338301629,None,,,,,8,28,28,3,387.90546233416535,,,,,,,,,,,,,,,,387.89704162511043,387.90546233416535,388.89447862515226,388.89447862515226,388.89447862515226,388.89447862515226,388.90141662512906,389.89449458406307,389.89449458406307,390.41273962520063,z,1,0.5163833338301629,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
-50,x,29,29,7,,,,,x,1,2.3738670418970287,None,,,,,7,29,29,0,390.42242095898837,,,,,,,,,,,,,,,,390.41341679217294,390.42242095898837,391.4115085841622,391.4115085841622,391.4115085841622,391.4115085841622,391.41801266698167,392.4111842091661,392.4111842091661,394.79642808414064,x,1,2.3738670418970287,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
150,v,30,30,6,,,,,v,1,0.8469908328261226,None,,,,,6,30,30,1,394.80518741719425,,,,,,,,,,,,,,,,394.7969660421368,394.80518741719425,395.79464908409864,395.79464908409864,395.79464908409864,395.79464908409864,395.80117600015365,396.79504025005735,396.79504025005735,397.64629991701804,v,1,0.8469908328261226,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
50,c,31,31,7,,,,,c,1,0.45003137504681945,None,,,,,7,31,31,2,397.65617249999195,,,,,,,,,,,,,,,,397.646987042157,397.65617249999195,398.644985542167,398.644985542167,398.644985542167,398.644985542167,398.6514605002012,399.6450158341322,399.6450158341322,400.0966555841733,c,1,0.45003137504681945,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
150,v,32,32,7,,,,,v,1,2.2757947088684887,None,,,,,7,32,32,1,400.1063784591388,,,,,,,,,,,,,,,,400.09726691711694,400.1063784591388,401.0950370421633,401.0950370421633,401.0950370421633,401.0950370421633,401.1019239171874,402.09513483406045,402.09513483406045,404.3798951250501,v,1,2.2757947088684887,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
150,v,33,33,8,,,,,v,1,0.7296790829859674,None,,,,,8,33,33,1,404.38917037518695,,,,,,,,,,,,,,,,404.3805630421266,404.38917037518695,405.37855737516657,405.37855737516657,405.37855737516657,405.37855737516657,405.38516649999656,406.37840500008315,406.37840500008315,407.11350091709755,v,1,0.7296790829859674,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
-50,x,34,34,8,,,,,c,0,0.40702066686935723,None,,,,,8,34,34,0,407.1253588341642,,,,,,,,,,,,,,,,407.1142089171335,407.1253588341642,408.11192595912144,408.11192595912144,408.11192595912144,408.11192595912144,408.1186438340228,409.1120108340401,409.1120108340401,409.5304573341273,c,0,0.40702066686935723,None,05,001,2025-10-02_17h17.56.270,Motor sequence learning,,2025.1.1,None,2025-10-02 17h18.08.239651 +0530,
